name,grammar,hop,n_edges,n_pairs,hide_hop_token,schedule,attn,krylov_m,krylov_rho,krylov_beta,krylov_state_decay,n_layers,d_model,n_heads,d_ff,seed,steps_budget,solved_step,best_acc,best_eval_loss,final_acc,final_eval_loss,final_ppl,elapsed_s
path_h2_d4_softmax_m1_seed2,path,2,3,6,True,softmax>softmax>softmax>softmax,softmax,1,1.0,0.5,1.0,4,128,4,512,2,30000,2000,1.0,0.6776946208056281,1.0,0.6776946208056281,1.9693324369020717,7.522728681564331
path_h2_d4_softmax_m1_seed3,path,2,3,6,True,softmax>softmax>softmax>softmax,softmax,1,1.0,0.5,1.0,4,128,4,512,3,30000,1750,0.99765625,0.6813086846295525,0.99765625,0.6813086846295525,1.9764626067030628,6.295434951782227
path_h2_d4_krylov_m1_seed1,path,2,3,6,True,krylov>krylov>krylov>krylov,krylov,1,1.0,0.5,1.0,4,128,4,512,1,30000,7500,1.0,0.6742777263416964,1.0,0.6742777263416964,1.9626149188615596,197.65484499931335
path_h2_d4_krylov_m1_seed2,path,2,3,6,True,krylov>krylov>krylov>krylov,krylov,1,1.0,0.5,1.0,4,128,4,512,2,30000,7750,1.0,0.6753224092371324,1.0,0.6753224092371324,1.964666300432675,203.10715460777283
path_h2_d4_krylov_m1_seed3,path,2,3,6,True,krylov>krylov>krylov>krylov,krylov,1,1.0,0.5,1.0,4,128,4,512,3,30000,10750,1.0,0.6733972016502829,1.0,0.6733972016502829,1.9608875485734667,280.33543062210083
path_h2_d4_krylov_m2_seed1,path,2,3,6,True,krylov>krylov>krylov>krylov,krylov,2,1.0,0.5,1.0,4,128,4,512,1,30000,6750,1.0,0.6754173811744241,1.0,0.6754173811744241,1.9648528974579589,278.5073971748352
path_h2_d4_krylov_m2_seed2,path,2,3,6,True,krylov>krylov>krylov>krylov,krylov,2,1.0,0.5,1.0,4,128,4,512,2,30000,7000,0.99453125,0.679031649757834,0.99453125,0.679031649757834,1.9719672524065248,287.8483955860138
path_h2_d4_krylov_m2_seed3,path,2,3,6,True,krylov>krylov>krylov>krylov,krylov,2,1.0,0.5,1.0,4,128,4,512,3,30000,6750,0.9984375,0.67821444904103,0.9984375,0.67821444904103,1.9703564176316557,280.69875836372375
path_h2_d4_krylov_m3_seed1,path,2,3,6,True,krylov>krylov>krylov>krylov,krylov,3,1.0,0.5,1.0,4,128,4,512,1,30000,6500,1.0,0.6756844324224135,1.0,0.6756844324224135,1.9653776839456651,381.18432116508484
path_h2_d4_krylov_m3_seed2,path,2,3,6,True,krylov>krylov>krylov>krylov,krylov,3,1.0,0.5,1.0,4,128,4,512,2,30000,6500,1.0,0.6751428828519933,1.0,0.6751428828519933,1.9643136226521845,383.14476585388184
path_h2_d4_krylov_m3_seed3,path,2,3,6,True,krylov>krylov>krylov>krylov,krylov,3,1.0,0.5,1.0,4,128,4,512,3,30000,6500,1.0,0.6781858640558579,1.0,0.6781858640558579,1.9703000958276566,374.1085834503174
path_h2_d4_krylov_then_softmax_m1_seed1,path,2,3,6,True,krylov>krylov>krylov>softmax,krylov,1,1.0,0.5,1.0,4,128,4,512,1,30000,11000,0.9953125,0.674218859392054,0.9953125,0.674218859392054,1.962499389108439,223.1932680606842
path_h2_d4_krylov_then_softmax_m1_seed2,path,2,3,6,True,krylov>krylov>krylov>softmax,krylov,1,1.0,0.5,1.0,4,128,4,512,2,30000,4750,0.99921875,0.6810116852031035,0.99921875,0.6810116852031035,1.975875685604403,96.9962511062622
path_h2_d4_krylov_then_softmax_m1_seed3,path,2,3,6,True,krylov>krylov>krylov>softmax,krylov,1,1.0,0.5,1.0,4,128,4,512,3,30000,3750,1.0,0.6802517357994529,1.0,0.6802517357994529,1.974374690467858,76.93413591384888
path_h2_d4_krylov_then_softmax_m2_seed1,path,2,3,6,True,krylov>krylov>krylov>softmax,krylov,2,1.0,0.5,1.0,4,128,4,512,1,30000,4500,1.0,0.6781489764942842,1.0,0.6781489764942842,1.9702274176020227,143.51098465919495
path_h2_d4_krylov_then_softmax_m2_seed2,path,2,3,6,True,krylov>krylov>krylov>softmax,krylov,2,1.0,0.5,1.0,4,128,4,512,2,30000,3250,1.0,0.6823757676517263,1.0,0.6823757676517263,1.9785727820605536,103.03445529937744
path_h2_d4_krylov_then_softmax_m2_seed3,path,2,3,6,True,krylov>krylov>krylov>softmax,krylov,2,1.0,0.5,1.0,4,128,4,512,3,30000,4500,1.0,0.6776524094974293,1.0,0.6776524094974293,1.96924931055808,143.0003044605255
path_h2_d4_krylov_then_softmax_m3_seed1,path,2,3,6,True,krylov>krylov>krylov>softmax,krylov,3,1.0,0.5,1.0,4,128,4,512,1,30000,5500,1.0,0.6769319281858557,1.0,0.6769319281858557,1.9678310142213484,239.67413973808289
path_h2_d4_krylov_then_softmax_m3_seed2,path,2,3,6,True,krylov>krylov>krylov>softmax,krylov,3,1.0,0.5,1.0,4,128,4,512,2,30000,4250,1.0,0.6802616540123435,1.0,0.6802616540123435,1.974394272833475,184.59277391433716
path_h2_d4_krylov_then_softmax_m3_seed3,path,2,3,6,True,krylov>krylov>krylov>softmax,krylov,3,1.0,0.5,1.0,4,128,4,512,3,30000,4750,0.9953125,0.6781732138465433,0.9953125,0.6781732138465433,1.9702751712766826,207.01281762123108
path_h3_d2_softmax_m1_seed1,path,3,3,6,True,softmax>softmax,softmax,1,1.0,0.5,1.0,2,128,4,512,1,30000,250,1.0,0.654914763394524,1.0,0.654914763394524,1.924978431756274,0.5620195865631104
path_h3_d2_softmax_m1_seed2,path,3,3,6,True,softmax>softmax,softmax,1,1.0,0.5,1.0,2,128,4,512,2,30000,250,1.0,0.6568988631753361,1.0,0.6568988631753361,1.9288015725329803,0.5612497329711914
path_h3_d2_softmax_m1_seed3,path,3,3,6,True,softmax>softmax,softmax,1,1.0,0.5,1.0,2,128,4,512,3,30000,250,1.0,0.6571839024038876,1.0,0.6571839024038876,1.9293514350077088,0.560753583908081
path_h3_d2_krylov_m1_seed1,path,3,3,6,True,krylov>krylov,krylov,1,1.0,0.5,1.0,2,128,4,512,1,30000,250,1.0,0.6578909481272978,1.0,0.6578909481272978,1.930716057057029,3.333667039871216
path_h3_d2_krylov_m1_seed2,path,3,3,6,True,krylov>krylov,krylov,1,1.0,0.5,1.0,2,128,4,512,2,30000,250,1.0,0.657477653727812,1.0,0.657477653727812,1.9299182677959228,3.328293561935425
path_h3_d2_krylov_m1_seed3,path,3,3,6,True,krylov>krylov,krylov,1,1.0,0.5,1.0,2,128,4,512,3,30000,250,1.0,0.6603923937853645,1.0,0.6603923937853645,1.935551683862283,3.334181547164917
